"fid","id","id_local","id_osm","code_com","xlong","ylat","capacite","capacite_cargo","mobilier","protection","couverture","acces","surveillance","lumiere","url_info","d_service","source","proprietaire","gestionnaire","date_maj","commentaires","nom_local","commune_local","adresse_local","gratuit","type_accroche","type","CODE","epci",lon,lat
"83","84","84","null","38485","5.695789","45.179681","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","SEYSSINET P+R","Seyssinet-Pariset","11 rue Lamartine","null","null","stationnementcyclable","82","LaMetro",5.69579,45.17968
"84","86","86","null","38485","5.695703","45.180069","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","HOTEL DE VILLE","Seyssinet-Pariset","Boulevard de l'Europe","null","null","stationnementcyclable","83","LaMetro",5.6957,45.18007
"85","87","87","null","38485","5.687702","45.175763","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","PIERRE DE COUBERTIN","Seyssinet-Pariset","Avenue Pierre de Coubertin","null","null","stationnementcyclable","84","LaMetro",5.6877,45.17576
"86","92","92","null","38485","5.687252975700789","45.17636102302693","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","CHRONODRIVE","Seyssinet-Pariset","Avenue Vercors / Grl de gaulle","null","null","stationnementcyclable","85","LaMetro",5.68725,45.17636
"87","93","93","null","38540","5.617961245794961","45.269545063351934","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","VEUREY","Veurey-Voroize","1 rue des Jayères","null","null","stationnementcyclable","86","LaMetro",5.61796,45.26955
"88","96","96","null","38185","5.71206972623659","45.16892440544386","10","0","CASIER INDIVIDUEL","BOX INDIVIDUEL FERME","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2009-01-01","SMMAG","SMMAG","Mvélo+","2021-05-18","box","LOUISE MICHEL","Grenoble","3 Rue Louise Michel","null","null","stationnementcyclable","87","LaMetro",5.71207,45.16892
"89","97","97","null","38504","5.9960361855592","45.30039574624809","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","MERDARET","Theys","Pont Berard","null","null","stationnementcyclable","88","LeGresivaudan",5.99604,45.3004
"90","98","98","null","38439","6.051849544327417","45.371767280363834","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","CRETS","Crêts en Belledonne","Route d'Allevard","null","null","stationnementcyclable","89","LeGresivaudan",6.05185,45.37177
"91","99","99","null","38045","5.808978852758637","45.233586241344106","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","CLAVERINS","Biviers","Rue de Gal de Gaulle","null","null","stationnementcyclable","90","LeGresivaudan",5.80898,45.23359
"92","100","100","null","38474","5.659998906097342","45.22072716568881","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2022-03-01","SMMAG","SMMAG","Mvélo+","2022-03-01","minibox","ENGENIERES","Sassenage","Avenue de Valence","null","null","stationnementcyclable","91","LaMetro",5.66,45.22073
"93","101","101","null","38006","6.071601007762681","45.393571940252464","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","JULES FERRY","Allevard","Boulevard Jules Ferry","null","null","stationnementcyclable","92","LeGresivaudan",6.0716,45.39357
"94","102","102","null","38140","5.883104783675948","45.28440987454651","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","MAIRIE","Crolles","Avenue de la Résistance","null","null","stationnementcyclable","93","LeGresivaudan",5.8831,45.28441
"95","103","103","null","38140","5.888653887769594","45.27167702325004","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","AMBROISE CROISAT","Crolles","Avenue Amrboise Croizat","null","null","stationnementcyclable","94","LeGresivaudan",5.88865,45.27168
"96","104","104","null","38140","5.873068576578054","45.27731303898745","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","CROIX DES AYES","Crolles","Avenue Joliot-Curie","null","null","stationnementcyclable","95","LeGresivaudan",5.87307,45.27731
"97","105","105","null","38397","5.830686835096775","45.24583495647245","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","PINS","Saint-Ismier","Carrefour des Pins","null","null","stationnementcyclable","96","LeGresivaudan",5.83069,45.24583
"98","106","106","null","38422","5.829559033367688","45.14361589392651","5","0","RATELIER AVEC ARCEAUX","CONSIGNE COLLECTIVE FERMEE","true","ABONNEMENT OU INSCRIPTION PREALABLE","false","true","https://www.veloplus-m.fr/","2021-05-18","SMMAG","SMMAG","Mvélo+","2021-06-14","minibox","OFFICE DE TOURISME","Saint-Martin-d'Uriage","Route de Gières","null","null","stationnementcyclable","97","LeGresivaudan",5.82956,45.14362
