FID,id,rute_nr,rutenavn,status,kategori,under_kategori,kommune,ogc_fid,wkb_geometry
cykeldata_kk.fid-2b80431e_19460c4a556_6b90,519,,,Eksisterende,Cykelmulighed,,København,37,"MULTILINESTRING ((12.50690285471731 55.665917498398365, 12.507008814274474 55.66549243936456, 12.507076767747034 55.66515869877317, 12.507201890377011 55.66507613901802, 12.507295028563387 55.66482389424132, 12.50734470111165 55.6647700803994, 12.507607524853562 55.66465196415704, 12.50764043802059 55.66459872408459))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b91,3756,,,Eksisterende,Cykelmulighed,,København,38,"MULTILINESTRING ((12.55794209639444 55.66140835295587, 12.556865660139518 55.661627925140024, 12.556523780238942 55.66127108751856, 12.55621660573935 55.66110909023349, 12.55521194299983 55.660749517094594, 12.555101293922595 55.66070983535409))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b92,906,,,Eksisterende,Cykelmulighed,,København,39,"MULTILINESTRING ((12.607117422027997 55.66294910280548, 12.606690730253815 55.66367173001765, 12.606490500942218 55.663668910426594))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b93,747,,,Eksisterende,Cykelmulighed,Grøn,København,40,"MULTILINESTRING ((12.582362618864215 55.64731320720318, 12.58262722999222 55.64723268585183, 12.582947418077513 55.64716375174607, 12.583367470976539 55.647111066979775, 12.583749289873891 55.64706353375297, 12.584031506456485 55.647021314407226, 12.584190179151358 55.646989555103026, 12.584434522245258 55.64694097773692, 12.584695018758758 55.64688032726167, 12.585144589468877 55.6467713949424, 12.58534857150792 55.64672565626836))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b94,610,,,Eksisterende,Cykelmulighed,Grøn,København,41,"MULTILINESTRING ((12.58598391487864 55.660856319416055, 12.586096531738395 55.661183698463546))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b95,3755,,,Eksisterende,Cykelmulighed,,København,42,"MULTILINESTRING ((12.553897527277583 55.660536310129835, 12.552507273582428 55.66033733591838, 12.551803204879544 55.66023652849521))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b96,3754,,,Eksisterende,Cykelmulighed,,København,43,"MULTILINESTRING ((12.555101293922595 55.66070983535409, 12.554889577283697 55.66067820963253, 12.553897527277583 55.660536310129835))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b97,3753,,,Eksisterende,Cykelmulighed,,København,44,"MULTILINESTRING ((12.551803204879544 55.66023652849521, 12.551556922021797 55.66019726651887, 12.551398961317384 55.66017252968763))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b98,517,,,Eksisterende,Cykelmulighed,Grøn,København,45,"MULTILINESTRING ((12.569859696739632 55.702533213366145, 12.57007303595419 55.70275791230131, 12.570149804792415 55.70287468630025, 12.570169940989887 55.70291760355137))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b99,518,,,Eksisterende,Cykelmulighed,Grøn,København,46,"MULTILINESTRING ((12.570169940989887 55.70291760355137, 12.57026066905125 55.70313419670176))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9a,516,,,Eksisterende,Cykelmulighed,,København,47,"MULTILINESTRING ((12.586012278922032 55.69503879988378, 12.585963300711782 55.695203528311424, 12.58614440193732 55.69544165045789, 12.586093454434552 55.69563540461042, 12.585901151436547 55.69639950167825, 12.58589664442543 55.69645255026825, 12.585744077796361 55.69651371440554))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9b,765,,,Eksisterende,Cykelmulighed,Grøn,København,48,"MULTILINESTRING ((12.57866584560967 55.65325277652635, 12.57825769549893 55.65324389592996, 12.577567344557075 55.6531900848519, 12.576795317343576 55.65314215599422))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9c,515,,,Eksisterende,Cykelmulighed,,København,49,"MULTILINESTRING ((12.586103311056398 55.69473262800679, 12.586012278922032 55.69503879988378))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9d,617,,,Eksisterende,Cykelmulighed,Grøn,København,50,"MULTILINESTRING ((12.587851629153409 55.66030682486746, 12.587916676767161 55.6599235964862, 12.587926386739861 55.65965728887697, 12.587883907394517 55.659342388423156, 12.587864317761236 55.659277419781866))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9e,479,,,Eksisterende,Cykelmulighed,,København,51,"MULTILINESTRING ((12.573747921372968 55.67728327981887, 12.573797054462903 55.67726053378889, 12.573805284913501 55.67725672855526))"
cykeldata_kk.fid-2b80431e_19460c4a556_6b9f,746,,,Eksisterende,Cykelmulighed,Grøn,København,52,"MULTILINESTRING ((12.581574872041992 55.64707299101688, 12.581270401749013 55.64597829482546, 12.580962459438796 55.64508698422846))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba0,751,,,Eksisterende,Cykelmulighed,Grøn,København,53,"MULTILINESTRING ((12.587591215136415 55.65409112094336, 12.58734493305985 55.653974088159146, 12.58702461504071 55.653863066065334))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba1,478,,,Eksisterende,Cykelmulighed,,København,54,"MULTILINESTRING ((12.576266106377101 55.67751553257202, 12.576189747939585 55.677481239424054, 12.576117334347773 55.677445729301304, 12.575920972523674 55.67734943699577, 12.575913502325035 55.67734580132745, 12.57578128373876 55.677281451722884, 12.575726699793227 55.67725446346586, 12.575641549151296 55.677212361816224, 12.575499931525275 55.677140888316714, 12.575437463178778 55.677112338820045, 12.575428812112781 55.67710838763649))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba2,752,,,Eksisterende,Cykelmulighed,Grøn,København,55,"MULTILINESTRING ((12.58702461504071 55.653863066065334, 12.586520826024726 55.65372265185527, 12.585421391604422 55.653424786796045, 12.584659053117134 55.65324231060435, 12.584015990397809 55.65312309192024, 12.58360031230948 55.65307919861682, 12.583497720151904 55.65307719233551))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba3,745,,,Eksisterende,Cykelmulighed,Grøn,København,56,"MULTILINESTRING ((12.581731006910855 55.6476334868524, 12.581574872041992 55.64707299101688))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba4,476,,,Eksisterende,Cykelmulighed,,København,57,"MULTILINESTRING ((12.573805284913501 55.67725672855526, 12.574311080386202 55.676714660486866, 12.574344787611555 55.67667299683453, 12.57435125481669 55.67666499073679))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba5,3180,,,Eksisterende,Cykelmulighed,Grøn,København,58,"MULTILINESTRING ((12.528857063025912 55.65203489649522, 12.528699224045242 55.65200330128009, 12.528410671843288 55.65195155559732, 12.527681965088025 55.65187797546202, 12.527521166547984 55.65186173843329))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba6,3798,,,Eksisterende,Cykelmulighed,,København,59,"MULTILINESTRING ((12.547594325337851 55.65235614361302, 12.547739444662199 55.652336028150415, 12.548084910363562 55.652307045369604, 12.548749954925105 55.65234894788964, 12.549655070835694 55.65237471286314, 12.550049653077048 55.652352572405896, 12.550428465669366 55.65227263012513, 12.550598106633103 55.652211444647996, 12.551050990092328 55.65204798354545, 12.551849406749817 55.651759684226214, 12.552317505955099 55.65159041118108, 12.552435049601824 55.65142413532982, 12.55248043371035 55.65135337451154))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba7,569,,,Eksisterende,Cykelmulighed,Grøn,København,60,"MULTILINESTRING ((12.525752059870918 55.716701986040775, 12.525744961765868 55.71625665479827))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba8,573,,,Eksisterende,Cykelmulighed,Grøn,København,61,"MULTILINESTRING ((12.527329693425816 55.71499579051918, 12.529622538740671 55.71520989650491))"
cykeldata_kk.fid-2b80431e_19460c4a556_6ba9,574,,,Eksisterende,Cykelmulighed,Grøn,København,62,"MULTILINESTRING ((12.525955533692573 55.7155474812719, 12.525744961765868 55.71625665479827))"
cykeldata_kk.fid-2b80431e_19460c4a556_6baa,575,,,Eksisterende,Cykelmulighed,Grøn,København,63,"MULTILINESTRING ((12.52613438304438 55.714879434821945, 12.525955533692573 55.7155474812719))"
