ogc_fid,geo_point_2d,anne_maj,lametro,type,name,geo_shape,geometry
1979,"45.19592,5.75457",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75457,45.19592],[5.75464,45.1959],[5.7548,45.19572],[5.75504,45.1954],[5.75522,45.19513],[5.75535,45.19489],[5.75565,45.19431],[5.756,45.19371]]}","LINESTRING (640595.8021342483 5652417.995360527, 640603.5944986038 5652414.835948512, 640621.4056171308 5652386.401290319, 640648.1222949212 5652335.851008947, 640668.1598032638 5652293.199430144, 640682.6313370671 5652255.287085539, 640716.027184305 5652163.666246175, 640754.9890060828 5652068.887050153)"
1980,"45.17442,5.75784",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75784,45.17442],[5.75539,45.17352]]}","LINESTRING (640959.8168691423 5649022.268212816, 640687.0841166988 5648880.149455889)"
1981,"45.17352,5.75539",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75539,45.17352],[5.75355,45.17502]]}","LINESTRING (640687.0841166988 5648880.149455889, 640482.2562536391 5649117.015298567)"
1982,"45.17502,5.75355",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75355,45.17502],[5.75299,45.17551]]}","LINESTRING (640482.2562536391 5649117.015298567, 640419.9173387949 5649194.392825785)"
1983,"45.17551,5.75299",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75299,45.17551],[5.75258,45.17613],[5.7524,45.17646]]}","LINESTRING (640419.9173387949 5649194.392825785, 640374.2763475697 5649292.300038927, 640354.2388392269 5649344.4123773845)"
1968,"45.15765,5.75307",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.75307,45.15765],[5.75129,45.15646]]}","LINESTRING (640428.8228980585 5646374.4909174405, 640230.6742044464 5646186.634128002)"
1970,"45.13817,5.71787",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.71787,45.13817],[5.71796,45.13817],[5.71803,45.13818],[5.7182,45.13824],[5.71857,45.13843],[5.7187,45.13848],[5.71882,45.13853],[5.71912,45.13866],[5.71938,45.13874],[5.7197,45.13885],[5.72001,45.13896],[5.72061,45.13915]]}","LINESTRING (636510.3768221351 5643299.815997215, 636520.3955763065 5643299.815997215, 636528.1879406621 5643301.3941029105, 636547.112254097 5643310.862742893, 636588.3004656904 5643340.846835235, 636602.7719994936 5643348.737402461, 636616.1303383887 5643356.627976601, 636649.5261856267 5643377.143501752, 636678.469253233 5643389.768463554, 636714.0914902868 5643407.127814956, 636748.6005324328 5643424.4871998485, 636815.3922269087 5643454.471670813)"
1971,"45.16687,5.72344",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72344,45.16687],[5.72384,45.16717],[5.72421,45.16745],[5.72446,45.16766],[5.72481,45.16797],[5.72492,45.16807],[5.72541,45.16851],[5.72586,45.1689],[5.72667,45.16962],[5.72719,45.17009],[5.7276,45.17043]]}","LINESTRING (637130.4263858538 5647830.119351773, 637174.9541821709 5647877.486490445, 637216.1423937646 5647921.696044947, 637243.9722664627 5647954.853353436, 637282.9340882404 5648003.80007986, 637295.1792322277 5648019.589403275, 637349.7257827164 5648089.062755608, 637399.8195535734 5648150.641857466, 637489.988341116 5648264.327460939, 637547.8744763285 5648338.539671782, 637593.5154675537 5648392.225482644)"
1972,"45.16452,5.72391",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.72391,45.16452],[5.72469,45.16454],[5.72547,45.16455],[5.72639,45.16457],[5.72713,45.1646],[5.72848,45.16462]]}","LINESTRING (637182.7465465266 5647459.085395881, 637269.5757493452 5647462.2430671, 637356.4049521639 5647463.821903122, 637458.8188836939 5647466.979576003, 637541.1953068809 5647471.716087402, 637691.4766194518 5647474.873763053)"
1974,"45.18903,5.73717",2016.0,1,veloamenage,,"{""type"":""LineString"",""coordinates"":[[5.73717,45.18903],[5.73673,45.18955],[5.73624,45.19019],[5.73619,45.19025]]}","LINESTRING (638658.8429944454 5651329.643613138, 638609.8624184963 5651411.778771067, 638555.3158680075 5651512.869226331, 638549.7498934679 5651522.346514789)"
