mob_arce_id,geo_point_2d,mob_arce_nb,mob_arce_typ,mob_arce_datecre,latitude,longitude,geometry,rayon
1116,"45.175184828166,5.72868596649828",2,nouveau modèle,20120101000000,45.175184828166,5.72868596649828,POINT (637714.4047051609 5649143.043787317),7.0710678118654755
1117,"45.1874508823325,5.71739284384922",2,nouveau modèle,20120101000000,45.1874508823325,5.71739284384922,POINT (636457.2600424015 5651080.223060376),7.0710678118654755
1118,"45.1903167702087,5.72198701597118",2,nouveau modèle,20120101000000,45.1903167702087,5.72198701597118,POINT (636968.6809436347 5651532.893202007),7.0710678118654755
1119,"45.1901477723623,5.73615675289996",4,nouveau modèle,20120101000000,45.1901477723623,5.73615675289996,POINT (638546.0488432212 5651506.199173929),10.0
1120,"45.1879884471222,5.72576654553213",4,nouveau modèle,20120101000000,45.1879884471222,5.72576654553213,POINT (637389.4162497977 5651165.1302734595),10.0
1121,"45.1878786695443,5.7264640630423",3,nouveau modèle,20120101000000,45.1878786695443,5.7264640630423,POINT (637467.0635438493 5651147.791073791),8.660254037844386
1122,"45.1994696874177,5.73644213791136",2,nouveau modèle,20120101000000,45.1994696874177,5.73644213791136,POINT (638577.8177573702 5652978.759203859),7.0710678118654755
1123,"45.2005497370282,5.73719978938945",2,nouveau modèle,20120101000000,45.2005497370282,5.73719978938945,POINT (638662.15913411 5653149.387583096),7.0710678118654755
1124,"45.1941881138093,5.7319540168173",4,nouveau modèle,20120101000000,45.1941881138093,5.7319540168173,POINT (638078.202402561 5652144.41237336),10.0
1125,"45.194683179746,5.73110223755246",2,nouveau modèle,20120101000000,45.194683179746,5.73110223755246,POINT (637983.3827685306 5652222.616210712),7.0710678118654755
1126,"45.1824206526741,5.73913164394335",2,nouveau modèle,20120101000000,45.1824206526741,5.73913164394335,POINT (638877.2121993367 5650285.747858482),7.0710678118654755
1127,"45.1708348921289,5.73758665496474",3,nouveau modèle,20120101000000,45.1708348921289,5.73758665496474,POINT (638705.2248129566 5648456.158142624),8.660254037844386
1128,"45.1701924800286,5.73225250313586",4,nouveau modèle,20120101000000,45.1701924800286,5.73225250313586,POINT (638111.4297475517 5648354.721177548),10.0
1129,"45.1815666571703,5.72536371985084",3,nouveau modèle,20120101000000,45.1815666571703,5.72536371985084,POINT (637344.5739000781 5650150.874655221),8.660254037844386
1130,"45.167760064206,5.72829159557814",3,nouveau modèle,20120101000000,45.167760064206,5.72829159557814,POINT (637670.5035351472 5647970.652728566),8.660254037844386
1131,"45.1724155273267,5.73679967152565",2,nouveau modèle,20120101000000,45.1724155273267,5.73679967152565,POINT (638617.6182172544 5648705.745543627),7.0710678118654755
1132,"45.1722729876365,5.73626594721972",2,nouveau modèle,20120101000000,45.1722729876365,5.73626594721972,POINT (638558.2042992943 5648683.237782176),7.0710678118654755
1133,"45.1887879728949,5.71451979057725",2,nouveau modèle,20120101000000,45.1887879728949,5.71451979057725,POINT (636137.4332151437 5651291.415148847),7.0710678118654755
1134,"45.1761888919673,5.73281765354657",2,nouveau modèle,20120101000000,45.1761888919673,5.73281765354657,POINT (638174.3420034936 5649301.600011129),7.0710678118654755
1135,"45.1901747182155,5.72982054228972",4,nouveau modèle,20120101000000,45.1901747182155,5.72982054228972,POINT (637840.7051045302 5651510.4553965945),10.0
1136,"45.1872491934859,5.71261160659325",3,nouveau modèle,20120101000000,45.1872491934859,5.71261160659325,POINT (635925.0151457051 5651048.366943676),8.660254037844386
1137,"45.1721604967461,5.72460890150273",2,nouveau modèle,20120101000000,45.1721604967461,5.72460890150273,POINT (637260.5479059251 5648665.474922902),7.0710678118654755
1138,"45.1775120540184,5.7259832214097",1,nouveau modèle,20120101000000,45.1775120540184,5.7259832214097,POINT (637413.536498156 5649510.550742251),5.0
1139,"45.1756329449613,5.73835229379947",3,nouveau modèle,20120101000000,45.1756329449613,5.73835229379947,POINT (638790.4553381704 5649213.807577392),8.660254037844386
1140,"45.1884654437955,5.72809514243744",4,nouveau modèle,20120101000000,45.1884654437955,5.72809514243744,POINT (637648.6344715597 5651240.471553057),10.0
1141,"45.1895183330466,5.72459069859965",3,nouveau modèle,20120101000000,45.1895183330466,5.72459069859965,POINT (637258.5215680234 5651406.776883805),8.660254037844386
1144,"45.1828034319187,5.71757900842204",6,nouveau modèle,20140910000000,45.1828034319187,5.71757900842204,POINT (636477.9837878515 5650346.201600208),12.24744871391589
1145,"45.1841893960443,5.71744571276742",8,nouveau modèle,20140910000000,45.1841893960443,5.71744571276742,POINT (636463.1453834543 5650565.09544057),14.142135623730951
1164,"45.1830090996241,5.71703534864853",8,nouveau modèle,20140911000000,45.1830090996241,5.71703534864853,POINT (636417.4638586995 5650378.6836294085),14.142135623730951
1184,"45.1859379210804,5.72861287187435",5,ancien modèle,20140917000000,45.1859379210804,5.72861287187435,POINT (637706.2678488451 5650841.258358585),11.180339887498949
1204,"45.1865423582338,5.71668184824661",4,nouveau modèle,20150728000000,45.1865423582338,5.71668184824661,POINT (636378.1123739626 5650936.725437641),10.0
1205,"45.1887897400403,5.71565763142692",3,nouveau modèle,20150728000000,45.1887897400403,5.71565763142692,POINT (636264.0970791328 5651291.6942709405),8.660254037844386
1015,"45.1887151409499,5.73019037560263",3,nouveau modèle,20100101000000,45.1887151409499,5.73019037560263,POINT (637881.8747606018 5651279.9112897795),8.660254037844386
1016,"45.1876789027031,5.71928871350142",1,nouveau modèle,20010101000000,45.1876789027031,5.71928871350142,POINT (636668.3072866948 5651116.238294117),5.0
1017,"45.182080419699,5.73221067710841",3,nouveau modèle,20120101000000,45.182080419699,5.73221067710841,POINT (638106.773695474 5650232.013947647),8.660254037844386
1018,"45.1821137828535,5.73397569839634",3,nouveau modèle,20110101000000,45.1821137828535,5.73397569839634,POINT (638303.2549664858 5650237.283066365),8.660254037844386
1019,"45.1845334027364,5.74121715291573",2,nouveau modèle,20110101000000,45.1845334027364,5.74121715291573,POINT (639109.3699961868 5650619.427359184),7.0710678118654755
1020,"45.1828839123496,5.73565467379914",15,nouveau modèle,20110101000000,45.1828839123496,5.73565467379914,POINT (638490.15765338 5650358.912224014),19.364916731037084
1021,"45.1863231872235,5.71096494143372",4,nouveau modèle,20100101000000,45.1863231872235,5.71096494143372,POINT (635741.7092186392 5650902.10862619),10.0
1022,"45.1874988092482,5.71107575730091",3,nouveau modèle,19900101000000,45.1874988092482,5.71107575730091,POINT (635754.0451845466 5651087.792982029),8.660254037844386
1023,"45.1854735251452,5.70583491462493",3,nouveau modèle,20110101000000,45.1854735251452,5.70583491462493,POINT (635170.6372465288 5650767.910605231),8.660254037844386
1024,"45.188437750525,5.71123696981715",3,nouveau modèle,20110101000000,45.188437750525,5.71123696981715,POINT (635771.9912797639 5651236.097403742),8.660254037844386
1025,"45.1889311644917,5.70569357369851",2,nouveau modèle,20110101000000,45.1889311644917,5.70569357369851,POINT (635154.9032465714 5651314.032409382),7.0710678118654755
1026,"45.1880661598794,5.70575220450394",2,nouveau modèle,20100101000000,45.1880661598794,5.70575220450394,POINT (635161.4299979768 5651177.404904207),7.0710678118654755
1027,"45.1818070565114,5.71047794310679",3,nouveau modèle,20120101000000,45.1818070565114,5.71047794310679,POINT (635687.496812868 5650188.841195244),8.660254037844386
1028,"45.1816953681208,5.70860480393688",3,nouveau modèle,19900101000000,45.1816953681208,5.70860480393688,POINT (635478.9799142887 5650171.202101368),8.660254037844386
1029,"45.1917510991848,5.7125188361894",3,nouveau modèle,20110101000000,45.1917510991848,5.7125188361894,POINT (635914.6879915878 5651759.455599534),8.660254037844386
1030,"45.1873293584292,5.71157583445233",5,nouveau modèle,20110101000000,45.1873293584292,5.71157583445233,POINT (635809.7135184 5651061.02872992),11.180339887498949
1031,"45.1834361523086,5.70432412138923",3,nouveau modèle,20120101000000,45.1834361523086,5.70432412138923,POINT (635002.4565128367 5650446.130362594),8.660254037844386
1032,"45.1806978462457,5.71322072442194",2,nouveau modèle,19900101000000,45.1806978462457,5.71322072442194,POINT (635992.8218322279 5650013.663699179),7.0710678118654755
1033,"45.182763231769,5.71682030720428",3,nouveau modèle,20110101000000,45.182763231769,5.71682030720428,POINT (636393.5255546262 5650339.852622793),8.660254037844386
1034,"45.1892074081615,5.7066873718676",3,nouveau modèle,20110101000000,45.1892074081615,5.7066873718676,POINT (635265.5323527058 5651357.665542966),8.660254037844386
1035,"45.1876646458234,5.71327087158185",3,ancien modèle,19930101000000,45.1876646458234,5.71327087158185,POINT (635998.4041885339 5651113.986452242),8.660254037844386
1036,"45.187668772759,5.71320215277376",2,nouveau modèle,19900101000000,45.187668772759,5.71320215277376,POINT (635990.7544458093 5651114.638292319),7.0710678118654755
1037,"45.1876946204084,5.7127439483121",4,nouveau modèle,19900101000000,45.1876946204084,5.7127439483121,POINT (635939.747358458 5651118.720870743),10.0
1038,"45.1814152996493,5.71312680874811",4,nouveau modèle,20120101000000,45.1814152996493,5.71312680874811,POINT (635982.3671872397 5650126.970672864),10.0
1039,"45.181376124248,5.71562326550035",3,nouveau modèle,20120101000000,45.181376124248,5.71562326550035,POINT (636260.2714816864 5650120.783689036),8.660254037844386
1040,"45.1858261080198,5.71397538498867",2,nouveau modèle,20120101000000,45.1858261080198,5.71397538498867,POINT (636076.830262238 5650823.598294043),7.0710678118654755
1041,"45.1950980123252,5.71164371683986",10,nouveau modèle,20120101000000,45.1950980123252,5.71164371683986,POINT (635817.2701512136 5652288.1463886155),15.811388300841898
1042,"45.1948796213283,5.71041750512461",10,nouveau modèle,20120101000000,45.1948796213283,5.71041750512461,POINT (635680.7688874672 5652253.64759007),15.811388300841898
1043,"45.1926026495208,5.71211934132128",2,nouveau modèle,20120101000000,45.1926026495208,5.71211934132128,POINT (635870.2164262942 5651893.966693832),7.0710678118654755
1044,"45.1925117796757,5.71215745047115",2,nouveau modèle,20120101000000,45.1925117796757,5.71215745047115,POINT (635874.4587174522 5651879.612775489),7.0710678118654755
1045,"45.1847316298941,5.71534061574529",3,nouveau modèle,20120101000000,45.1847316298941,5.71534061574529,POINT (636228.8070548803 5650650.735218418),8.660254037844386
1046,"45.1809351444851,5.71535500393667",3,nouveau modèle,20120101000000,45.1809351444851,5.71535500393667,POINT (636230.4087410183 5650051.139905793),8.660254037844386
1047,"45.1852765290752,5.70633443488858",2,nouveau modèle,20120101000000,45.1852765290752,5.70633443488858,POINT (635226.2435879193 5650736.796777311),7.0710678118654755
1048,"45.1724573541757,5.70750505026961",3,nouveau modèle,20110101000000,45.1724573541757,5.70750505026961,POINT (635356.5558960503 5648712.350232203),8.660254037844386
1049,"45.1724672894291,5.7072743311029",6,nouveau modèle,20110101000000,45.1724672894291,5.7072743311029,POINT (635330.8723558958 5648713.91906385),12.24744871391589
1050,"45.1724787199076,5.7069803431577",3,nouveau modèle,20110101000000,45.1724787199076,5.7069803431577,POINT (635298.1457675368 5648715.724000178),8.660254037844386
1051,"45.1725813795034,5.70652281558178",5,nouveau modèle,20110101000000,45.1725813795034,5.70652281558178,POINT (635247.2140307615 5648731.934539347),11.180339887498949
1052,"45.1685781248673,5.71361985685354",4,nouveau modèle,20110101000000,45.1685781248673,5.71361985685354,POINT (636037.2530512727 5648099.819310196),10.0
